data_origin,order_id,model,model_version,window_days,half_life_days,touch_id,source_id,placement_id,creative_id,kind,weight,attributed_revenue,repeat_in_observed_history,window_completeness,path_timestamp_tie
synthetic,demo_o3,last_touch,rules-v1,14,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,last_touch,rules-v1,14,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,last_touch,rules-v1,14,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,last_touch,rules-v1,14,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,linear,rules-v1,14,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.5,4995.00,False,complete,False
synthetic,demo_o1,linear,rules-v1,14,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.5,4995.00,False,complete,False
synthetic,demo_o3,linear,rules-v1,14,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,linear,rules-v1,14,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,linear,rules-v1,14,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,linear,rules-v1,14,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,time_decay,rules-v1,14,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.3556886838508336,3553.33,False,complete,False
synthetic,demo_o1,time_decay,rules-v1,14,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.6443113161491665,6436.67,False,complete,False
synthetic,demo_o3,time_decay,rules-v1,14,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,time_decay,rules-v1,14,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,time_decay,rules-v1,14,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,time_decay,rules-v1,14,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,position_based,rules-v1,14,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.5,4995.00,False,complete,False
synthetic,demo_o1,position_based,rules-v1,14,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.5,4995.00,False,complete,False
synthetic,demo_o3,position_based,rules-v1,14,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,position_based,rules-v1,14,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,position_based,rules-v1,14,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,position_based,rules-v1,14,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,last_non_direct,rules-v1,14,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,1.0,9990.00,False,complete,False
synthetic,demo_o3,last_non_direct,rules-v1,14,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,last_non_direct,rules-v1,14,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,last_non_direct,rules-v1,14,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,last_non_direct,rules-v1,14,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,first_touch,rules-v1,30,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,1.0,9990.00,False,complete,False
synthetic,demo_o3,first_touch,rules-v1,30,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,first_touch,rules-v1,30,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,first_touch,rules-v1,30,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,first_touch,rules-v1,30,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,last_touch,rules-v1,30,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,1.0,9990.00,False,complete,False
synthetic,demo_o3,last_touch,rules-v1,30,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,last_touch,rules-v1,30,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,last_touch,rules-v1,30,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,last_touch,rules-v1,30,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,linear,rules-v1,30,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,0.3333333333333333,3330.00,False,complete,False
synthetic,demo_o1,linear,rules-v1,30,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.3333333333333333,3330.00,False,complete,False
synthetic,demo_o1,linear,rules-v1,30,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.3333333333333333,3330.00,False,complete,False
synthetic,demo_o3,linear,rules-v1,30,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,linear,rules-v1,30,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,linear,rules-v1,30,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,linear,rules-v1,30,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,time_decay,rules-v1,30,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,0.08166072225721414,815.79,False,complete,False
synthetic,demo_o1,time_decay,rules-v1,30,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.3266428890288566,3263.16,False,complete,False
synthetic,demo_o1,time_decay,rules-v1,30,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.5916963887139293,5911.05,False,complete,False
synthetic,demo_o3,time_decay,rules-v1,30,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,time_decay,rules-v1,30,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,time_decay,rules-v1,30,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,time_decay,rules-v1,30,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,position_based,rules-v1,30,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,0.4,3996.00,False,complete,False
synthetic,demo_o1,position_based,rules-v1,30,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.2,1998.00,False,complete,False
synthetic,demo_o1,position_based,rules-v1,30,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.4,3996.00,False,complete,False
synthetic,demo_o3,position_based,rules-v1,30,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,position_based,rules-v1,30,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,position_based,rules-v1,30,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,position_based,rules-v1,30,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,last_non_direct,rules-v1,30,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,1.0,9990.00,False,complete,False
synthetic,demo_o3,last_non_direct,rules-v1,30,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,last_non_direct,rules-v1,30,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,last_non_direct,rules-v1,30,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,last_non_direct,rules-v1,30,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,first_touch,rules-v1,60,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,1.0,9990.00,False,complete,False
synthetic,demo_o3,first_touch,rules-v1,60,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,first_touch,rules-v1,60,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,first_touch,rules-v1,60,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,first_touch,rules-v1,60,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,last_touch,rules-v1,60,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,1.0,9990.00,False,complete,False
synthetic,demo_o3,last_touch,rules-v1,60,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,last_touch,rules-v1,60,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,last_touch,rules-v1,60,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,last_touch,rules-v1,60,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,linear,rules-v1,60,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,0.3333333333333333,3330.00,False,complete,False
synthetic,demo_o1,linear,rules-v1,60,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.3333333333333333,3330.00,False,complete,False
synthetic,demo_o1,linear,rules-v1,60,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.3333333333333333,3330.00,False,complete,False
synthetic,demo_o3,linear,rules-v1,60,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,linear,rules-v1,60,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,linear,rules-v1,60,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,linear,rules-v1,60,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,time_decay,rules-v1,60,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,0.08166072225721414,815.79,False,complete,False
synthetic,demo_o1,time_decay,rules-v1,60,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.3266428890288566,3263.16,False,complete,False
synthetic,demo_o1,time_decay,rules-v1,60,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.5916963887139293,5911.05,False,complete,False
synthetic,demo_o3,time_decay,rules-v1,60,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,time_decay,rules-v1,60,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,time_decay,rules-v1,60,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,time_decay,rules-v1,60,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,position_based,rules-v1,60,7,t1,paid_A,paid_A_placement,paid_A_creative,paid,0.4,3996.00,False,complete,False
synthetic,demo_o1,position_based,rules-v1,60,7,t2,owned_native,owned_native_placement,owned_native_creative,owned,0.2,1998.00,False,complete,False
synthetic,demo_o1,position_based,rules-v1,60,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,0.4,3996.00,False,complete,False
synthetic,demo_o3,position_based,rules-v1,60,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,position_based,rules-v1,60,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,position_based,rules-v1,60,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,position_based,rules-v1,60,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
synthetic,demo_o1,last_non_direct,rules-v1,60,7,t3,owned_sale,owned_sale_placement,owned_sale_creative,owned,1.0,9990.00,False,complete,False
synthetic,demo_o3,last_non_direct,rules-v1,60,7,,unknown,,,unknown,1.0,3000.00,False,complete,False
synthetic,demo_o4,last_non_direct,rules-v1,60,7,t4,organic_search,organic_search_placement,organic_search_creative,organic,1.0,2000.00,False,complete,False
synthetic,demo_o5,last_non_direct,rules-v1,60,7,t5,direct,direct_placement,direct_creative,direct,1.0,1000.00,False,complete,False
synthetic,demo_o2,last_non_direct,rules-v1,60,7,,unknown,,,unknown,1.0,4000.00,True,complete,False
